Member,Force,Type,Direction
EX,439.97,C,D
TK,439.97,C,D
YX,2035.41,C,H
TS,2035.41,C,H
AB,660.5,C,H
NO,660.5,C,H
FG,2291,T,H
IJ,2291,T,H
FX,139.69,C,V
JT,139.69,C,V
XW,2685.98,C,H
UT,2685.98,C,H
GW,1.459,T,V
IU,1.459,T,V
WV,2685.98,C,H
VU,2685.98,C,H
GV,790.7,C,D
VI,790.7,C,D
GH,3108.3,T,H
HI,3108.3,T,H
HV,139.83,C,V
XG,614.7,T,D
IT,614.7,T,D
EF,2703.90,T,H
JK,2703.90,T,H
Ay,1136.32,T,D
PO,1136.32,T,D
YC,962.62,C,D
MP,962.62,C,D
CZ,788.61,T,D
RM,788.61,T,D
CD,1678.42,C,H
LM,1678.42,C,H
ZY,2035.41,T,H
SR,2035.41,T,H
ZE,614.03,C,D
KR,614.03,C,D
ya,1220.11,T,H
QP,1220.11,T,H
yC,962.62,C,D
PM,962.62,C,D
By,138.66,C,V
NP,138.66,C,V
Ca,1.10,C,V
MQ,1.10,C,V
DZ,139.40,C,V
LR,139.40,C,V
EY,1.26,C,V
KS,1.26,C,V
